id,asignatura,credito_total,tipo_credito,horas_semanales,distribucion_horaria,distribucion_salon,prerrequisito,inscrito,porcentaje_aprobacion,porcentaje_retiro,porcentaje_reprobacion,estimados,num_grupos,codigo,carrera,semestre
192,CALCULO 1,3,3A,3,2 clases de 1:30 h,Salon Normal,PRECALCULO,77,69.3,7.7,2.4255,87,4,11310003,MA02,2
193,CALCULO 2,3,3A,3,2 clases de 1:30 h,Salon Normal,CALCULO 1,53,47.7,5.3,1.6695,60,3,11310004,MA02,3
196,CAPSTONE PROJECT,3,3B,9,,"208 Casur, (Tesla)","OPTIMIZACION, KEYSTONE PROJECT, ANALISIS DE SISTEMAS DE POTENCIA, SEMINARIO DE GRADO, CONTROL, SISTEMAS EMBEBIDOS, SIMULACION, FINANZAS, MODELING OF DYNAMICAL SYSTEMS, GEOMETRIA COMPUTACIONAL Y DIFERENCIAL, MATHEMATICAL MODELLING OF SYSTEMS IN NATURAL SCIENCES, GEOMETRIA COMPUTACIONAL Y DIFERENCIAL 1",28,25.2,2.8,0.882,32,2,11310029,MA02,8
184,ANALISIS DE SISTEMAS DE POTENCIA,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",Laboratorio,"ELEMENTOS DE SISTEMAS ELECTRICOS, ECUACIONES DIFERENCIALES Y SISTEMAS DINAMICOS",2,1.8,0.2,0.063,2,1,32710007,ISE1,
182,ALGORITMOS Y ESTRUCTURAS DE DATOS,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",Sala de computo,PROGRAMACION DE COMPUTADORES,47,42.3,4.7,1.4805,53,3,11310006,MA02,2
186,ANALISIS NUMERICO Y COMPUTACION CIENTIFICA,3,3A,3,2 clases de 1:30 h,Salon con computadores,"ALGEBRA LINEAL, ALGORITMOS Y ESTRUCTURAS DE DATOS, ECUACIONES DIFERENCIALES, ALGEBRA LINEAL, ECUACIONES DIFERENCIALES",47,42.3,4.7,1.4805,53,3,11310021,MA02,7
197,CIBERSEGURIDAD,2,1A + 1B,4,2 clases de 2:00 h,Sala de computo,INGENIERIA DE DATOS,13,11.7,1.3,0.4095,15,1,11310049,,
189,ARQUITECTURA DEL COMPUTADOR,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h","1 clase en salon normal, 1 clase en sala de computo",PROGRAMACION DE COMPUTADORES,11,9.9,1.1,0.3465,12,1,11320002,MA03,
227,INTRODUCCION AL PROCESAMIENTO DEL LENGUAJE NATURAL,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",Sala de computo,APRENDIZAJE AUTOMATICO DE MAQUINAS,17,15.3,1.7,0.5355,19,1,11320031,MA01-MA02-MA03,
224,INGENIERIA DE DATOS,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",Sala de computo,"PROGRAMACION DE COMPUTADORES, ALGORITMOS Y ESTRUCTURAS DE DATOS",56,50.4,5.6,1.764,63,3,11310017,MA02,3
228,KEYSTONE PROJECT,3,3B,9,,"208 Casur, (Tesla)","CORNERSTONE PROJECT, CALCULO 2, OPTIMIZACION, FUNDAMENTOS DE ENERGIAS RENOVABLES, REDES DE COMPUTADORES, FUNDAMENTOS DE ELECTRONICA ANALOGA, DISENO DE SISTEMAS DIGITALES, PROBABILIDAD Y ESTADISTICA 2, INGENIERIA DE DATOS, TEORIA DE GRAFOS, PROBABILIDAD Y ESTADISTICA 2",33,29.7,3.3,1.0395,37,2,11310041,MA02,5
215,FISICA 2,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h","2 clases salon normal, 1 laboratorio",FISICA 1,20,18,2,0.63,23,1,73210065,ISE1,
216,FISICA 3,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h","2 clases salon normal, 1 laboratorio",FISICA 2,4,3.6,0.4,0.126,5,1,73210067,ISE1,
208,ECUACIONES DIFERENCIALES Y SISTEMAS DINAMICOS,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",Salon Normal,"FISICA 1, ALGEBRA LINEAL, CALCULO 2",8,7.2,0.8,0.252,9,1,73210066,ISE1,
225,INSTRUMENTACION,1,1B,3,2 clases de 1:30 h,Laboratorio Bardeen,"PROBABILIDAD Y ESTADISTICA 1, CALCULO 2, FUNDAMENTOS DE ELECTRONICA ANALOGA",3,2.7,0.3,0.0945,3,1,32610004,IET1,
232,LOGISTICA,3,3A,3,2 clases de 1:30 h,Sala de computo,OPTIMIZACION,3,2.7,0.3,0.0945,3,1,32510004,IIN1,
213,FINANZAS,3,3A,3,2 clases de 1:30 h,,CONTABILIDAD Y MATEMATICAS FINANCIERAS,23,20.7,2.3,0.7245,26,2,32510005,IIN1,
212,ESTRATEGIA Y TRANSFORMACION ORGANIZACIONAL,3,3A,3,2 clases de 1:30 h,Salon Normal,MICROECONOMIA,2,1.8,0.2,0.063,2,1,32510007,IIN1,
223,GEOMETRIA COMPUTACIONAL Y DIFERENCIAL,4,3A + 1B,6,3 clases de 2:00 h,"1 clase en salon normal, las otras dos en sala","OPTIMIZACION, PROBABILIDAD Y ESTADISTICA 2, TEORIA DE GRAFOS, ALGORITMOS Y ESTRUCTURAS DE DATOS, TOPOLOGIA",30,27,3,0.945,34,2,11310053,MA02,7
229,LOGICA PARA CIENCIAS DE LA COMPUTACION,3,3A,3,2 clases de 1:30 h,Sala de computo,LOGICA TEORIA DE NUMEROS Y CONJUNTOS,26,23.4,2.6,0.819,29,2,11320001,MA03,
230,LOGICA PARA CIENCIAS DE LA COMPUTACION,3,3A,3,2 clases de 1:30 h,Sala de computo,LOGICA TEORIA DE NUMEROS Y CONJUNTOS,10,9,1,0.315,27,2,11320001,MA03,
203,DISENO Y ANALISIS DE ALGORITMOS,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",Sala de computo,TEORIA DE LA COMPUTACION,36,32.4,3.6,1.134,41,2,11320004,MA03,
233,MATHEMATICAL MODELLING OF SYSTEMS IN NATURAL SCIENCES,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",,"PROGRAMACION DE COMPUTADORES, FISICA 1, PROBABILIDAD Y ESTADISTICA 1, ECUACIONES DIFERENCIALES",36,32.4,3.6,1.134,41,2,11320008,MA03,
239,PASANTIA,,,,,,SEMINARIO DE GRADO,32,28.8,3.2,1.008,36,2,11310057,,
200,CORNERSTONE PROJECT,3,3B,9,,"208 Casur, (Tesla)","PROGRAMACION DE COMPUTADORES, FOUNDATION PROJECT, CALCULO 1, FUNDAMENTOS DE CIRCUITOS, ENERGIA Y MEDIO AMBIENTE, FUNDAMENTOS DE SISTEMAS DIGITALES, CONTABILIDAD Y MATEMATICAS FINANCIERAS, SISTEMAS DE PRODUCCION Y SERVICIOS, LOGICA PARA CIENCIAS DE LA COMPUTACION, ALGORITMOS Y ESTRUCTURAS DE DATOS, LOGICA PARA CIENCIAS DE LA COMPUTACION",52,46.8,5.2,1.638,59,3,11310032,MA02,3
179,ALGEBRA ABSTRACTA Y CODIFICACION,4,4A,4,2 clases de 2:00 h,Salon Normal,"PROBABILIDAD Y ESTADISTICA 1, ALGEBRA LINEAL, LOGICA TEORIA DE NUMEROS Y CONJUNTOS, ALGEBRA LINEAL, CALCULO II, ALGEBRA LINEAL",24,21.6,2.4,0.756,27,2,11310018,MA02,6
234,MECANICA DE FLUIDOS,3,2A + 1B,5,"1 clase de 2:00 h, 1 clase de 3:00 h",Vernoulli,"FISICA 2, ECUACIONES DIFERENCIALES Y SISTEMAS DINAMICOS",2,1.8,0.2,0.063,2,1,32710005,ISE1,
258,TRABAJO DE GRADO 1,4,4A,4,2 clases de 2:00 h,,SEMINARIO DE GRADO,1,0.9,0.1,0.0315,1,1,11310054,ISE1,
