Cod_asigna,Desc_asign,Tipologia,Credi.Teo.,Cred.Pra.,Curso
17210004,ETICA,T,2.0,0.0,1.0
11310044,PRECALCULO,T,3.0,0.0,1.0
11310002,PROGRAMACION DE COMPUTADORES,T,2.0,1.0,1.0
11010003,QUIMICA I,T,2.0,1.0,1.0
18610031,ANALISIS DE TEXTOS,T,2.0,0.0,1.0
32510001,FOUNDATION PROJECT,T,1.0,2.0,1.0
60110260,"CATEDRA ROSARISTA, HISTORIA Y ACTUALIDAD",T,2.0,0.0,1.0
11210007,CONSTITUCION POLITICA E INSTRUCCION CIVICA,T,2.0,0.0,2.0
11310003,CALCULO 1,T,3.0,0.0,2.0
18610030,ANALISIS DE ARGUMENTOS,T,2.0,0.0,2.0
32610001,FUNDAMENTOS DE CIRCUITOS,T,2.0,1.0,2.0
32710001,ENERGIA Y MEDIO AMBIENTE,T,3.0,0.0,2.0
73210064,FISICA 1,T,2.0,1.0,2.0
11310032,CORNERSTONE PROJECT,T,0.0,3.0,3.0
11310031,PROBABILIDAD Y ESTADISTICA 1,T,2.0,1.0,3.0
11310030,ALGEBRA LINEAL,T,3.0,0.0,3.0
11310004,CALCULO 2,T,3.0,0.0,3.0
32710002,ELEMENTOS DE SISTEMAS ELECTRICOS,T,2.0,1.0,3.0
73210065,FISICA 2,T,2.0,1.0,3.0
11310036,CALCULO 3,T,2.0,0.0,4.0
11310012,OPTIMIZACION,T,2.0,1.0,4.0
18610032,ESCRITURA DE ENSAYOS DE OPINION,T,2.0,0.0,4.0
32710003,FUNDAMENTOS DE ENERGIAS RENOVABLES,T,1.0,1.0,4.0
73210067,FISICA 3,T,2.0,1.0,4.0
32710004,ECONOMIA DE SISTEMAS DE ENERGIA,T,3.0,0.0,5.0
11310041,KEYSTONE PROJECT,T,0.0,3.0,5.0
32710005,MECANICA DE FLUIDOS,T,2.0,1.0,5.0
73210066,ECUACIONES DIFERENCIALES Y SISTEMAS DINAMICOS,T,2.0,1.0,5.0
32710006,TERMODINAMICA,T,2.0,1.0,5.0
32710007,ANALISIS DE SISTEMAS DE POTENCIA,T,2.0,1.0,6.0
32710009,TRANSFERENCIA DE CALOR,T,2.0,1.0,6.0
32710008,CONTROL,T,2.0,1.0,6.0
32710010,REDES DE TRANSPORTE Y DISTRIBUCION,T,3.0,0.0,7.0
32710011,SISTEMAS DE CONVERSION DE ENERGIA,T,2.0,1.0,7.0
11310054,TRABAJO DE GRADO 1,P,4.0,0.0,8.0
11310029,CAPSTONE PROJECT,P,0.0,3.0,8.0
11310028,SEMINARIO DE GRADO,P,1.0,0.0,8.0
11310055,TRABAJO DE GRADO 2,P,4.0,0.0,8.0
,,,,,
ELECTIVAS DE PROFUNDIZACION,,,,,
Plan de estudio,,,,,
11320028,MODELADO CON DINAMICA DE SISTEMAS,C,2.0,1.0,
32510008,MODELOS MATEMATICOS APLICADOS EN CADENAS DE SUMINISTRO,C,2.0,1.0,
32519999,PROVISIONAL INGENIERIAS FALTAN ASIGNATURAS,C,18.0,0.0,
11310073,DESARROLLO MOVIL,C,1.0,1.0,
11310075,COMPENSA COMPLEMENTARIA_1 POR COTERMINAL,C,0.0,4.0,
11310076,COMPENSA COMPLEMENTARIA_2 POR COTERMINAL,C,0.0,4.0,
11310077,SENSORES Y ACTUADORES,C,2.0,1.0,
11310078,TEORIA DE NUMEROS,C,3.0,0.0,
11310079,OPERATING SYSTEMS,C,3.0,0.0,
11310080,REDES DE DISPOSITIVOS,C,2.0,1.0,
11310081,ANALISIS FUNCIONAL,C,3.0,0.0,
15210003,CONTABILIDAD FINANCIERA,C,3.0,0.0,
32610007,FUNDAMENTOS DE MANUFACTURA DE SISTEMAS MECATRONICOS,C,1.0,1.0,
83020002,TERRITORIO Y ESPACIO URBANO,C,4.0,0.0,
11310071,GEOMETRIA NO EUCLIDEANA,C,1.0,1.0,
11310070,DISENO Y ARQUITECTURA DE SOFTWARE,C,1.0,1.0,
11310068,COMPUTACION EN LA NUBE,C,1.0,1.0,
11310060,SEGURIDAD DE REDES,C,1.0,1.0,
11310052,REDES DE COMPUTADORES,C,1.0,1.0,
11310046,ELECTIVA DESARROLLO WEB,C,1.0,1.0,
