Cod_asigna,Desc_asign,Tipologia,Credi.Teo.,Cred.Pra.,Curso
11310001,"LOGICA, TEORIA DE NUMEROS Y CONJUNTOS",T,3,0,1
11310002,PROGRAMACION DE COMPUTADORES,T,2,1,1
11310025,PENSAMIENTO MATEMATICO,T,2,0,1
60110260,"CATEDRA ROSARISTA, HISTORIA Y ACTUALIDAD",T,2,0,1
17210004,ETICA,T,2,0,1
18610031,ANALISIS DE TEXTOS,T,2,0,1
11310044,PRECALCULO,T,3,0,1
11310001,"LOGICA, TEORIA DE NUMEROS Y CONJUNTOS",T,3,0,1
11310002,PROGRAMACION DE COMPUTADORES,T,2,1,1
60110260,"CATEDRA ROSARISTA, HISTORIA Y ACTUALIDAD",T,2,0,1
17210004,ETICA,T,2,0,1
18610031,ANALISIS DE TEXTOS,T,2,0,1
11310044,PRECALCULO,T,3,0,1
11210007,CONSTITUCION POLITICA E INSTRUCCION CIVICA,T,2,0,2
11310003,CALCULO 1,T,3,0,2
18610030,ANALISIS DE ARGUMENTOS,T,2,0,2
11310011,FUNDAMENTOS DE SISTEMAS DIGITALES,T,2,1,2
11310035,LOGICA PARA CIENCIAS DE LA COMPUTACION,T,1,1,2
11310006,ALGORITMOS Y ESTRUCTURAS DE DATOS,T,2,1,2
11310004,CALCULO 2,T,3,0,3
11310017,INGENIERIA DE DATOS,T,2,1,3
18610032,ESCRITURA DE ENSAYOS DE OPINION,T,2,0,3
11310031,PROBABILIDAD Y ESTADISTICA 1,T,2,1,3
11310032,CORNERSTONE PROJECT,T,0,3,3
11310030,ALGEBRA LINEAL,T,3,0,3
11310007,TEORIA DE LA COMPUTACION,T,3,0,4
11310012,OPTIMIZACION,T,2,1,4
11310036,CALCULO 3,T,2,0,4
11310033,PROBABILIDAD Y ESTADISTICA 2,T,1,1,4
11310014,TEORIA DE GRAFOS,T,3,0,4
11310010,ANALISIS REAL,T,3,0,5
11310013,ANALISIS ESTADISTICO DE DATOS,T,2,1,5
11310041,KEYSTONE PROJECT,T,0,3,5
11310038,VARIABLE COMPLEJA,T,1,1,5
11310034,ECUACIONES DIFERENCIALES,T,3,0,5
11310018,ALGEBRA ABSTRACTA Y CODIFICACION,T,4,0,6
11310040,MODELING OF DYNAMICAL SYSTEMS,T,2,1,6
11310015,ELEMENTOS DE FISICA,T,2,1,6
11310053,GEOMETRIA COMPUTACIONAL Y DIFERENCIAL,T,3,1,7
11310021,ANALISIS NUMERICO Y COMPUTACION CIENTIFICA,T,3,0,7
11310020,TOPOLOGIA,T,3,0,7
11010040,MATHEMATICAL MODELING OF SYSTEMS IN NATURAL SCIENCES,T,2,0,8
11310028,SEMINARIO DE GRADO,P,1,0,8
11310029,CAPSTONE PROJECT,P,0,3,8
11310054,TRABAJO DE GRADO 1,P,4,0,8
11310055,TRABAJO DE GRADO 2,P,4,0,8
LINEA DE INTELIGENCIA ARTIFICIAL,,,,,
Composicion de Asignaturas,,,,,
Cod_asigna,Desc_asign,Tipologia,Credi.Teo.,Cred.Pra.,Curso
11310051,PROCESAMIENTO DE SENALES,C,1,1,
11310062,INTELIGENCIA ARTIFICIAL: REPRESENTACION Y SOLUCION DE PROBLEMAS,C,2,0,
11310063,APRENDIZAJE AUTOMATICO DE MAQUINA I,C,1,1,
11310064,INTRODUCCION AL PROCESAMIENTO DEL LENGUAJE NATURAL,C,1,1,
11310065,INTRODUCCION A LA VISION POR COMPUTADORA,C,1,1,
LINEA DE CIENCIA DE DATOS,,,,,
Composicion de Asignaturas,,,,,
Cod_asigna,Desc_asign,Tipologia,Credi.Teo.,Cred.Pra.,Curso
11310068,COMPUTACION EN LA NUBE,C,1,1,
11310052,REDES DE COMPUTADORES,C,1,1,
11310063,APRENDIZAJE AUTOMATICO DE MAQUINA I,C,1,1,
11310066,ANALISIS AVANZADO DE DATOS,C,1,1,
11310067,BIG DATA,C,1,1,
LINEA DE CIBERSEGURIDAD,,,,,
Composicion de Asignaturas,,,,,
Cod_asigna,Desc_asign,Tipologia,Credi.Teo.,Cred.Pra.,Curso
11310061,SEGURIDAD EN EL CICLO DE DESARROLLO DE SOFTWARE,C,1,1,
11310060,SEGURIDAD DE REDES,C,1,1,
11310059,INTRODUCCION A LA CRIPTOGRAFIA,C,1,1,
11310058,ANALISIS FORENSE Y GESTION DE INCIDENTES,C,1,1,
11310049,CIBERSEGURIDAD,C,1,1,
11310047,ELECTIVA HACKING ETICO,C,1,1,
LINEA DE ACTUARIA,,,,,
Composicion de Asignaturas,,,,,
Cod_asigna,Desc_asign,Tipologia,Credi.Teo.,Cred.Pra.,Curso
14610039,MEDICION Y ADMINISTRACION DE RIESGOS,C,4,0,
15210003,CONTABILIDAD FINANCIERA,C,3,0,
65510133,MATEMATICAS Y PLANEACION FINANCIERA,C,4,0,
,,,,,
ELECTIVAS DE PROFUNDIZACION,,,,,
Cod_asigna,Desc_asign,Tipologia,Credi.Teo.,Cred.Pra.,Curso
83020002,TERRITORIO Y ESPACIO URBANO,C,4,0,
65510133,MATEMATICAS Y PLANEACION FINANCIERA,C,4,0,
32710001,ENERGIA Y MEDIO AMBIENTE,C,3,0,
32610007,FUNDAMENTOS DE MANUFACTURA DE SISTEMAS MECATRONICOS,C,1,1,
15210003,CONTABILIDAD FINANCIERA,C,3,0,
14610039,MEDICION Y ADMINISTRACION DE RIESGOS,C,4,0,
11310081,ANALISIS FUNCIONAL,C,3,0,
11310080,REDES DE DISPOSITIVOS,C,2,1,
11310079,OPERATING SYSTEMS,C,3,0,
11310078,TEORIA DE NUMEROS,C,3,0,
11310077,SENSORES Y ACTUADORES,C,2,1,
11310076,COMPENSA COMPLEMENTARIA_2 POR COTERMINAL,C,0,4,
11310075,COMPENSA COMPLEMENTARIA_1 POR COTERMINAL,C,0,4,
11310073,DESARROLLO MOVIL,C,1,1,
11310071,GEOMETRIA NO EUCLIDEANA,C,1,1,
11310070,DISENO Y ARQUITECTURA DE SOFTWARE,C,1,1,
