Cod.Programa,Nombre Programa,Asignatura,Nombre Asignatura,Cod.Asig. Prerreq.,Nombre Asignatura Prerreq.
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11010040.0,MATHEMATICAL MODELING OF SYSTEMS IN NATURAL SCIENCES,11310002.0,PROGRAMACION DE COMPUTADORES
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11010040.0,MATHEMATICAL MODELING OF SYSTEMS IN NATURAL SCIENCES,11310002.0,PROGRAMACION DE COMPUTADORES
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11010040.0,MATHEMATICAL MODELING OF SYSTEMS IN NATURAL SCIENCES,11310005.0,ALGEBRA LINEAL
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11010040.0,MATHEMATICAL MODELING OF SYSTEMS IN NATURAL SCIENCES,11310040.0,MODELING OF DYNAMICAL SYSTEMS
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11010040.0,MATHEMATICAL MODELING OF SYSTEMS IN NATURAL SCIENCES,11310040.0,MODELING OF DYNAMICAL SYSTEMS
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11010040.0,MATHEMATICAL MODELING OF SYSTEMS IN NATURAL SCIENCES,11310009.0,PROBABILIDAD
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11010040.0,MATHEMATICAL MODELING OF SYSTEMS IN NATURAL SCIENCES,11310031.0,PROBABILIDAD Y ESTADISTICA 1
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11010040.0,MATHEMATICAL MODELING OF SYSTEMS IN NATURAL SCIENCES,11310033.0,PROBABILIDAD Y ESTADISTICA 2
IIN1,INGENIERIA INDUSTRIAL,11310003.0,CALCULO 1,11310044.0,PRECALCULO
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310003.0,CALCULO 1,11310044.0,PRECALCULO
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,11310003.0,CALCULO 1,11310044.0,PRECALCULO
IET1,INGENIERIA ELECTRONICA,11310003.0,CALCULO 1,11310044.0,PRECALCULO
MA03,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310003.0,CALCULO 1,11310044.0,PRECALCULO
MA03,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310004.0,CALCULO 2,11310003.0,CALCULO 1
ISE1,INGENIERIA DE SISTEMAS ENERGETICOS ,11310004.0,CALCULO 2,11310003.0,CALCULO 1
IET1,INGENIERIA ELECTRONICA,11310004.0,CALCULO 2,11310003.0,CALCULO 1
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310004.0,CALCULO 2,11310003.0,CALCULO 1
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310004.0,CALCULO 2,11310003.0,CALCULO 1
IIN1,INGENIERIA INDUSTRIAL,11310004.0,CALCULO 2,11310003.0,CALCULO 1
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310005.0,ALGEBRA LINEAL,11310003.0,CALCULO 1
MA03,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310006.0,ALGORITMOS Y ESTRUCTURAS DE DATOS,11310002.0,PROGRAMACION DE COMPUTADORES
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310006.0,ALGORITMOS Y ESTRUCTURAS DE DATOS,11310002.0,PROGRAMACION DE COMPUTADORES
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310006.0,ALGORITMOS Y ESTRUCTURAS DE DATOS,11310002.0,PROGRAMACION DE COMPUTADORES
MA03,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310007.0,TEORIA DE LA COMPUTACION,11310001.0,"LOGICA, TEORIA DE NUMEROS Y CONJUNTOS"
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310007.0,TEORIA DE LA COMPUTACION,11310035.0,LOGICA PARA CIENCIAS DE LA COMPUTACION
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310007.0,TEORIA DE LA COMPUTACION,11310035.0,LOGICA PARA CIENCIAS DE LA COMPUTACION
MA03,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310007.0,TEORIA DE LA COMPUTACION,11310035.0,LOGICA PARA CIENCIAS DE LA COMPUTACION
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310008.0,ECUACIONES DIFERENCIALES,11310005.0,ALGEBRA LINEAL
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310008.0,ECUACIONES DIFERENCIALES,11310036.0,CALCULO 3
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310009.0,PROBABILIDAD,11310004.0,CALCULO 2
MA03,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310010.0,ANALISIS REAL,11310001.0,"LOGICA, TEORIA DE NUMEROS Y CONJUNTOS"
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310010.0,ANALISIS REAL,11310001.0,"LOGICA, TEORIA DE NUMEROS Y CONJUNTOS"
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310010.0,ANALISIS REAL,11310001.0,"LOGICA, TEORIA DE NUMEROS Y CONJUNTOS"
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310010.0,ANALISIS REAL,11310004.0,CALCULO 2
MA01,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310010.0,ANALISIS REAL,11310004.0,CALCULO 2
MA03,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310010.0,ANALISIS REAL,11310004.0,CALCULO 2
MA03,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310010.0,ANALISIS REAL,11310025.0,PENSAMIENTO MATEMATICO
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310010.0,ANALISIS REAL,73210039.0,LOGICA Y MATEMATICAS DISCRETAS
MA02,MATEMATICAS APLICADAS Y CIENCIAS DE LA COMPUTACION,11310010.0,ANALISIS REAL,73210043.0,CALCULO II
