 PROGRAMA,CODIGO PRINCIPAL,CODIGO COMPARTIDO,NOMBRE ASIGNATURA
"MA01, MA02, MA03",11310018.0,11320009,ALGEBRA ABSTRACTA Y CODIFICACION
"MA01, MA02, MA03, ISE1, IIN1, IET1, ADM1",11310030.0,11310005,ALGEBRA LINEAL
"MA01, MA02, MA03, ISE1, IIN1, IET1, ADM1",11310030.0,11310005,ALGEBRA LINEAL
"MA01, MA02, MA03, ISE1, IIN1, IET1, ADM1",11310030.0,11310005,ALGEBRA LINEAL
"MA01, MA02, MA03, IIN1, ADM1",11320018.0,11310063,APRENDIZAJE AUTOMATICO DE MAQUINA I
"MA01, MA02, MA03",11320015.0,11310066,ANALISIS AVANZADO DE DATOS
"MA01, MA02, MA03",11320016.0,11310067,BIG DATA
"MA01, MA02, MA03, ISE1, IIN1, IET1, ADM1",11320003.0,11310036,CALCULO 3
"MA01, MA02, MA03, ISE1, IIN1, IET1, ADM1",11320003.0,11310036,CALCULO 3
ISE1,32610005.0,32710008,CONTROL
"MA01, MA02, MA03",11310073.0,11320024,DESARROLLO MOVIL
"MA01, MA02, MA03",11310070.0,11320022,DISENO Y ARQUITECTURA DE SOFTWARE
"MA01, MA02, MA03",11310034.0,11310008,ECUACIONES DIFERENCIALES
"MA01, MA02, MA03",11310034.0,11310008,ECUACIONES DIFERENCIALES
"MA01, MA02, MA03, ISE1, IIN1, IET1",73210064.0,11310015,FISICA 1 
"MA01, MA02, MA03, ISE1, IIN1, IET1",73210064.0,11310015,FISICA 1 
"MA01, MA02, MA03, ISE1, IIN1, IET1",73210064.0,11310015,FISICA 1 
"MA01, MA02, MA03, ISE1, IIN1, IET1",73210064.0,11310015,FISICA 1 
"MA01, MA02, MA03",11320031.0,11310064,INTRODUCCION AL PROCESAMIENTO DEL LENGUAJE NATURAL
"MA01, MA02, MA03",11320030.0,11310065,INTRODUCCION A LA VISION POR COMPUTADORA
"MA01, MA02, MA03",11310035.0,11320001,LOGICA PARA CIENCIAS DE LA COMPUTACION
"MA01, MA02, MA03",11310035.0,11320001,LOGICA PARA CIENCIAS DE LA COMPUTACION
"MA01, MA02, MA03",11320008.0,"11310074
11010040",MATHEMATICAL MODELING OF SYSTEMS IN NATURAL SCIENCES)
"MA01, MA02, MA03",11320008.0,"11310074
11010040",MATHEMATICAL MODELING OF SYSTEMS IN NATURAL SCIENCES)
"MA01, MA02, MA03, IIN1",11320006.0,11310033,PROBABILIDAD Y ESTADISTICA 2
"MA01, MA02, MA03, IIN1, ISE1",11320006.0,11310033,PROBABILIDAD Y ESTADISTICA 2
"MA01, MA02, MA03, ISE1, IIN1, IET1",11320007.0,11310052,REDES DE COMPUTADORES
"MA01, MA02, MA03, ISE1, IIN1, IET1",11320007.0,11310052,REDES DE COMPUTADORES
"MA01, MA02, MA03",11320013.0,11310061,SEGURIDAD EN EL CICLO DE DESARROLLO SOFTWARE
"MA01, MA02, MA03",11320014.0,11310060,SEGURIDAD DE REDES
"MA01, MA02, MA03, IET1",11320005.0,11310038,VARIABLE COMPLEJA
