Cod_asigna,Desc_asign,Tipologia,Credi.Teo.,Cred.Pra.,Curso
11310001,"LÓGICA, TEORÍA DE NÚMEROS Y CONJUNTOS",T,3,0,1
11310002,PROGRAMACIÓN DE COMPUTADORES,T,2,1,1
11310025,PENSAMIENTO MATEMÁTICO,T,2,0,1
11310044,PRECÁLCULO,T,3,0,1
17210004,ETICA,T,2,0,1
60110260,"CÁTEDRA ROSARISTA, HISTORIA Y ACTUALIDAD",T,2,0,1
18610031,ANÁLISIS DE TEXTOS,T,2,0,1
18610302,"LECTURA CRÍTICA PARA INGENIERÍA, CIENCIA Y TECNOLOGÍA",T,2,0,1
11210007,CONSTITUCIÓN POLITICA E INSTRUCCIÓN CIVICA,T,2,0,2
11310003,CÁLCULO 1,T,3,0,2
73210064,FÍSICA 1,T,2,1,2
18610304,"ESCRITURA ACADÉMICA PARA INGENIERÍA, CIENCIA Y TECNOLOGÍA",T,2,0,2
11320001,LÓGICA PARA CIENCIAS DE LA COMPUTACIÓN,T,3,0,2
11310006,ALGORITMOS Y ESTRUCTURAS DE DATOS,T,2,1,2
11310004,CÁLCULO 2,T,3,0,3
11310032,CORNERSTONE PROJECT,T,0,3,3
11310030,ÁLGEBRA LINEAL,T,3,0,3
11310017,INGENIERÍA DE DATOS,T,2,1,3
11310007,TEORÍA DE LA COMPUTACIÓN,T,3,0,3
11320002,ARQUITECTURA DEL COMPUTADOR,T,2,1,3
11310012,OPTIMIZACIÓN,T,2,1,4
11320004,DISEÑO Y ANÁLISIS DE ALGORITMOS,T,2,1,4
11320003,CÁLCULO 3,T,3,0,4
11310031,PROBABILIDAD Y ESTADÍSTICA 1,T,2,1,4
11310014,TEORÍA DE GRAFOS,T,3,0,4
11310034,ECUACIONES DIFERENCIALES,T,3,0,5
11310010,ANÁLISIS REAL,T,3,0,5
11320005,VARIABLE COMPLEJA,T,2,1,5
11320006,PROBABILIDAD Y ESTADÍSTICA 2,T,2,1,5
11320007,REDES DE COMPUTADORES,T,2,1,5
11310020,TOPOLOGÍA,T,3,0,6
11310013,ANÁLISIS ESTADÍSTICO DE DATOS,T,2,1,6
11310041,KEYSTONE PROJECT,T,0,3,6
11320008,MATHEMATICAL MODELLING OF SYSTEMS IN NATURAL SCIENCES,T,2,1,6
11310021,ANÁLISIS NUMÉRICO Y COMPUTACIÓN CIENTÍFICA,T,3,0,7
11310079,OPERATING SYSTEMS,T,3,0,7
11320009,ÁLGEBRA ABSTRACTA Y CODIFICACIÓN,T,3,0,7
11320010,GEOMETRÍA,T,3,0,8
11310029,CAPSTONE PROJECT,P,0,3,8
11310028,SEMINARIO DE GRADO,P,1,0,8
11310054,TRABAJO DE GRADO 1,P,4,0,8
11310055,TRABAJO DE GRADO 2,P,4,0,8
MENOR Matemáticas Avanzadas,,,,,
Composición de Asignaturas,,,,,
Cod_asigna,Desc_asign,Tipología,Credi.Teo.,Cred.Pra.,Curso
11310081,ANÁLISIS FUNCIONAL,C,3,0,
11320026,TEORÍA DE LA MEDIDA,C,3,0,
11310078,TEORIA DE NÚMEROS,C,3,0,
11320025,ADVANCED MODELING OF DYNAMIC SYSTEMS,C,3,0,
Código ,,,,,
Sub-Bloque,,,,,
,,,,,
MENOR Inteligencia Artificial,,,,,
Composición de Asignaturas,,,,,
Cod_asigna,Desc_asign,Tipología,Credi.Teo.,Cred.Pra.,Curso
11320030,INTRODUCCIÓN A LA VISIÓN POR COMPUTADORA,C,2,1,
11320031,INTRODUCCIÓN AL PROCESAMIENTO DEL LENGUAJE NATURAL,C,2,1,
11320021,APLICACIONES DE INTELIGENCIA ARTIFICIAL,C,2,1,
11320019,REPRESENTACIÓN Y SOLUCIÓN AUTOMÁTICA DE PROBLEMAS,C,2,1,
11320018,APRENDIZAJE AUTOMÁTICO DE MÁQUINAS,C,2,1,
MENOR Desarrollo de Software,,,,,
Composición de Asignaturas,,,,,
Cod_asigna,Desc_asign,Tipología,Credi.Teo.,Cred.Pra.,Curso
11320022,DISEÑO Y ARQUITECTURA DE SOFTWARE,C,3,0,
11320023,DESARROLLO WEB,C,3,0,
11320024,DESARROLLO MÓVIL,C,3,0,
11320017,COMPUTACIÓN EN LA NUBE,C,3,0,
Código ,,,,,
Sub-Bloque,,,,,
,,,,,
MENOR Ciencia de Datos,,,,,
Composición de Asignaturas,,,,,
Cod_asigna,Desc_asign,Tipología,Credi.Teo.,Cred.Pra.,Curso
11320015,ANÁLISIS AVANZADO DE DATOS,C,2,1,
11320018,APRENDIZAJE AUTOMÁTICO DE MÁQUINAS,C,2,1,
11320017,COMPUTACIÓN EN LA NUBE,C,3,0,
11320016,BIG DATA,C,2,1,
MENOR Ciberseguridad,,,,,
Composición de Asignaturas,,,,,
Cod_asigna,Desc_asign,Tipología,Credi.Teo.,Cred.Pra.,Curso
11320011,HACKING ÉTICO,C,2,1,
11320014,SEGURIDAD DE REDES,C,2,1,
11320012,INTRODUCCIÓN A LA CRIPTOGRAFÍA,C,2,1,
11320013,SEGURIDAD EN EL CICLO DE DESARROLLO DE SOFTWARE,C,2,1,
,,,,,
Composición de Asignaturas,,,,,
Cod_asigna,Desc_asign,Tipología,Credi.Teo.,Cred.Pra.,Curso
32510008,MODELOS MATEMÁTICOS APLICADOS EN CADENAS DE SUMINISTRO,C,2,1,
11320028,MODELADO CON DINÁMICA DE SISTEMAS,C,2,1,
Cod_asigna,Desc_asign,Tipología,Credi.Teo.,Cred.Pra.,Curso
