Asignatura,Periodo,Facultad,Nombre Asignatura,Matriculados 2024-1s
11310001,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA","LOGICA, TEORIA DE NUMEROS Y CONJUNTOS",81
11310002,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",PROGRAMACION DE COMPUTADORES,152
11310003,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",CALCULO 1,77
11310004,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",CALCULO 2,53
11310005,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",ALGEBRA LINEAL,7
11310006,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",ALGORITMOS Y ESTRUCTURAS DE DATOS,47
11310007,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",TEORIA DE LA COMPUTACION,47
11310008,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",ECUACIONES DIFERENCIALES,19
11310010,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",ANALISIS REAL,34
11310011,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",FUNDAMENTOS DE SISTEMAS DIGITALES,12
11310012,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",OPTIMIZACION,37
11310013,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",ANALISIS ESTADISTICO DE DATOS,36
11310014,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",TEORIA DE GRAFOS,32
11310015,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",ELEMENTOS DE FISICA,122
11310017,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",INGENIERIA DE DATOS,56
11310018,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",ALGEBRA ABSTRACTA Y CODIFICACION,24
11310020,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",TOPOLOGIA,29
11310021,2024-1S,"DEPARTAMENTO DE INGENIERIA, CIENCIA Y TECNOLOGIA",ANALISIS NUMERICO Y COMPUTACION CIENTIFICA,47
